!	!, хороший ход, сильный ход
!!	!!, прекрасный ход, блестящий ход
!?	!?, ход, приводящий к неясным осложнениям
-dimensional	-мерный (mérnyj)
Africa	Африка (f)
Afrikaans	африкаанс (afrikáans) (m)
Agatha	Агафия (Agaphija)
Aglaia	()
Agnes	()
Al Jazeera	Аль-Джазира (Al’-Džazíra) (f)
Alabama	Алабама (Alabáma) (f)
Alabama	алабама (alabáma) (f)
Alabama	язык алабама (jazýk alabáma)
Alaska	Аляска (Aljáska) (f)
Albania	Албания (Albánija) (f)
Albanian	албанец (albánets) (m), албанка (albánka) (f)
Albanian	албанский (albánskij)
Albanian	албанский (albánskij)
Albert	Альберт (Ál’bert)
Albireo	Альбирео
Alexander	Александр (Aleksándr)
Alexander the Great	Александр Македонский, Александр Великий
Alexandria	Александрия (Aleksandríja) (f)
Alfred	Альфред (Al'fred)
Algeria	Алжир (Alžír) (m)
Algiers	Алжир (Alžír) (m)
Alice	Алиса
Alice	Алиса
All Fools' Day	первое апреля (p'érvoje apr'el'a) /1st of april/ (n), день смеха (d'en' sm'éχa) /day of laughter/ (m)
All Saints' Day	День Всех Святых (d'en' vs'eχ sv'atýχ) (m)
Allah	Аллах (Alláχ) (m)
Alphonse	Альфонс (Al'fons)
Alps	Альпы (Ál’py) "f, pl"
Alvíssmál	Альвис
Amazon	Амазонка (Amazónka) (f)
Amazon	амазонка (amazónka) (f)
America	Америка (Amérika) (f)
American English	американский английский
American Samoa	Восточное Самоа
American bison	бизон (bizon) " "
Americanism	американизм (am'erikanízm) (m)
Amharic	амхарский (amkhárskij)
Amsterdam	Амстердам (Amsterdám) (m)
Amuzgo	язык амусго (jazýk amúsgo)
Amścisłaŭ	Мстиславль (Mstislavl')
Anastasia	Анастасия
Andaman Islands	Андаманские острова (Andamánskije ostrová) (m) (p)
Andes	Анды
Andorra	Андорра (f) (Andorra)
Andrew	Андрей (Andrei)
Andromeda	Андромеда
Andromeda	Андромеда
Angola	Ангола (f) (Angola)
Angolan	анголец (m), ангольца (f)
Angolan	ангольский
Angrapa	Анграпа, rarely: Анграппа (f)
Ankara	Анкара "(Ankará)" (f)
Ann	Анна (Anna)
Anna	Анна (Anna) (f)
Anno Domini	после Рождества Христова (pósle Roždestvá Xristóva) ("abbr." после Р. Хр.)
Annunciation	Благовещение (blagov'éščenije) (n)
Antarctic Ocean	Антарктический океан (Antarktíčeskij okeán) (m), Южный океан (Júžnyj okeán) (m)
Antarctica	Антарктида (the continent) (f), Антарктика (the region) (f)
Antigua and Barbuda	Антигуа и Барбуда (Antigua i Barbuda)
Antlia	Насос
Antwerp	Антверпен (Antvɛ́rpɛn)) (m)
Antwerp	Антверпен (Antvɛ́rpɛn)) (m)
Aphrodite	Афродита (f)
Apollo	Аполлон (Apollón) (m)
April	апрель (aprél’) (m)
Apus	Райская Птица
Aquarius	Водолей (Vodoléj) (m)
Aquarius	Водолей (Vodoléj) (m)
Aquila	Орёл
Ara	Жертвенник
Arab	араб (aráb) (m)
Arab	арабский (arábskij) (m)
Arabia	Аравия (Arávija) (f)
Arabic	арабский (arábskij) (m)
Arabic	арабский алфавит (arábskij alfavít) (m)
Arabic	арабский язык (arábskij jazýk) (m)
Archangel	Архангельск
Arctic Ocean	Северный Ледовитый океан (Sévernyj Ledovítyj okeán) (m)
Ares	Марс (Mars) (m)
Argentina	Аргентина (Argentina)
Argo Navis	Корабль Арго
Arizona	Аризона (Arizóna) (f)
Arkansas	Арканзас (Arkánzas, Arkanzás) (m)
Arkhangelsk	Архангельск (Arkhángelsk)
Armenia	Армения (Arménija) (f)
Armenian	армянин (armjánin) (m), армянка (armjánka) (f)
Armenian	армянский (armjánskij)
Armenian	армянский язык (armjánskij jazýk) (m)
Armenian SSR	Армянская ССР (Armjanskaja SSR)
Arran	Арран (Árran) (m)
Ascension Day	Вознесение (vozn'es'énije) (n)
Asia	Азия (Ázija) (f)
Astrakhan	Астрахань (Ástrakhan’) (f)
Athena	Афина (f) (Afina)
Athens	Афины (Afíny) "f pl"
Atlanta	Атланта (f)
Atlantic Ocean	Атлантический океан (Atlantíčeskij okeán) (m)
Atlantis	Атлантида (Atlantída) (f)
Auckland	Окленд (Óklend) (m)
August	август (ávgust) (m)
Auriga	Возничий
Austin	Аустин (Áustin) (m)
Australia	Австралия (Avstráliya) (f)
Australian	австралиец (m), австралийка (f)
Australian	австралийский (m), австралийская (f), австралийское (n)
Austria	Австрия (Avstrija) (f)
Austrian	австриец (avstríets) (m), австрийка (avstríjka) (f)
Austrian	австрийский (avstríjkskij)
Ayers Rock	Айерс-Рок (Ájers-Rók) (m), Улуру (Úluru) (m), скала Айерс (skalá Ájers) (f)
Azerbaijan	Азербайджан (Azerbajdžán) (m)
Azerbaijan SSR	Азербайджанская ССР (Azerbaijanskaja SSR)
Azeri	азербайджанец (azerbajdžánets) (m), азербайджанка (azerbajdžánka) (f)
Azeri	азербайджанский (azerbajdžánskij)
Azores	Азорские острова (Azórskije ostrová) (m) (p)
B major	си мажор
B-flat major	си-бемоль мажор
BBC	Би-би-си (Bi-bi-sí) (f)
BC	до Р. Хр. ("do Roždestvá Xristóva"); до н. э. (do nášej éry)
BMI	Индекс Массы Тела ((m))
Baal	Ваал (Vaál) (m)
Babylon	Вавилон (m) (Babilon)
Bactrian camel	бактриан /baktrián/ (m), двугорбый верблюд /dvugórbyj v'erbl'úd/ (m)
Baghdad	Багдад (m)
Baghdad	Багдад (m)
Bahamas	Багамы (Bagámy) "f pl", Багамские острова (Bagámskije ostrová) "m pl"
Bahrain	Бахрейн (Baxrejn)
Balearic Islands	Балеарские острова (Baleárskije ostrová) (mpl)
Baltic Sea	Балтийское море (Baltíjskoje móre) (n)
Baltimore	Балтимор (Báltimor) (m)
Bangalore	Бангалор
Bangkok	Банкок (Bankók) (m)
Bangladesh	Бангладеш (m)
Basque	баск (bask) (m), басконка (baskónka) (f)
Basque	баскский язык (báskskij jazýk) (m)
Basque	баскский, басконский
Bastille Day	День Взятия Бастилии (d'en' vz'átija bastílii)
Bavaria	Бавария (Bavárija) (f)
Bay of Bengal	Бенгальский залив (Bengál’skij zalív) (m)
Beijing	Пекин (Pekín) (m), Бэйцзин (Bejdszín) (m)
Beirut	Бейрут "(Bejrut)"
Belarus	Беларусь (Belarus), Белоруссия (Belorússija) (f)
Belarusian	белорус (belorús) (m), белоруска (belorúska) (f), белорусы (belorúsy) (pl)
Belarusian	белорусский (belorússkij)
Belarusian	белорусский (belorússkij)
Belfast	Белфаст (Bélfast) (m)
Belgium	Бельгия (f) (Bél'gija)
Belgrade	Белград (Beograd)
Belize	Белиз (Belíz) (m)
Belorussian	белорусский (belorússkij)
Beluga	белуха /b'elúχa/ (f)
Bengal	Бенгалия (Bengálija) (f)
Bengal tiger	бенгальский тигр (bengál’skij tigr) (m)
Bengali	бенгальский (bengál’skij)
Benin	Бенин
Bering Sea	Берингово море (n)
Berlin	Берлин (Berlín) (m)
Bermuda	Бермуды (Bermúdy) (m) (p)
Bern	Берн (Bern) (m)
Bern	кантон Берн (kantón Bern) (m)
Berne	Берн (Bern) (m)
Bethlehem	Вифлеем
Bhutan	Бутан
Big Dipper	Большая Медведица (bol’šája medvéditsa)
Bigfoot	бигфут (bigfút) (m)
Birmingham	Бирмингем (Birmingém) (m)
Bislama	бислама
Black Sea	Чёрное море (Čórnoje móre) (n)
Bludger	бладжер (bládžer) (m)
Body of Christ	Тело Христово (t'élo χristóvo) (m)
Bogota	Богота (Bogótá) (f)
Bohemia	Богемия (Bogémija) (f)
Bohemian	богемский (bogémskij), богемный (bogémnyj)
Bohemian	богемский (bogémskij), чешкий (čéškij)
Bolivia	Боливия
Bombay	Бомбей (Bombéj) (m)
Bosnia	Босния (Bósnija) (f)
Bosnia and Herzegovina	Босния и Герцеговина (Bósnija i Gertsegovína)
Boston	Бостон (Bostón) (m)
Botswana	Ботсвана (Botsvána) (f)
Boötes	Волопас
Brasil	Бразилия (Brazílija) (f)
Brasilia	Бразилиа (Brazília) (f)
Bratislava	Братислава (f)
Brazil	Бразилия (Brazílija) (f)
Breton	бретонец (bretónets) (m)
Breton	бретонский (bretónskij)
Breton	бретонский (bretónskij)
Bristol	Бристоль (Bristól’) (m)
British	британец (británets) (m)
British	британский (británskij)
British Empire	Британская империя (Británskaja impérija) (f)
Bronx	Бронкс (Bronks) (m)
Bronze Age	Бронзовый век (m) (Bronzov'y vek, Bronzov'ii vek)
Brooklyn	Бруклин (Brúklin) (m)
Brunei	Бруней Дарассалам
Brussels	Брюссель (Brjussél’) (m)
Budapest	Будапешт (m)(Budapešt)
Buddha	Будда (Búdda) (m)
Buenos Aires	Буэнос-Айрес (Buɛnos-Ájrɛs)) (m)
Bug	Буг (Bug) (m)
Bukhara	Бухара
Bulgaria	Болгария (Bolgárija) (f)
Bulgarian	болгарин (bolgárin) (m), болгарка (bolgárka) (f)
Bulgarian	болгарский (bolgárskij)
Bulgarian	болгарский (bolgárskij)
Burgundy	Бургундия (f)
Burkina Faso	Буркина-Фасо (Burkinà-Fasó)
Burma	Бирма (Bírma) (f)
Burundi	Бурунди (Burúndi)
Byelorussian SSR	Белорусская ССР (Byelorússkaja SSR)
Byzantine	византиец; византийский (m), византийская (f), византийское (n)
Byzantine Empire	Византийская империя (Vizantíjskaja impérija) (f)
CIS	СНГ (n)
CMOS	Κомплементарный полевой транзистор (МОП-транзистор)
Caaba	Кааба (Káaba) (f)
Caelum	Резец
Caesar salad	салат «Цезарь» (salát Tsézar’) (m)
Cain	Каин (Káin) (m)
Cairo	Каир (Kaír) (m)
Calcutta	Калькутта (Kal’kútta) (f)
California	Калифорния (Kalifórnija) (f)
Cambodia	Камбоджа (Kambódža)
Cambodian	кхмер (khmer) (m), кхмерка (khmérka) (f)
Cambodian	кхмерский (khmérskij)
Cambridge	Кембридж (Kémbridž) (m)
Camelopardalis	Жираф
Cameroon	Камерун
Canada	Канада (Kanáda) (f)
Canadian	канадец (kanádets) (m), канадка (kanádka) (f)
Canadian	канадский (kanádskij)
Cancer	Рак (m)
Cancer	Рак (m)
Canes Venatici	Гончие Псы
Canis Major	Большой Пёс
Canis Minor	Малый Пёс
Cape Town	Кейптаун (Kéjptaun) (m)
Cape Verde	Кабо-Верде
Cape of Good Hope	Мыс Доброй Надежды (Mys Dóbroj Nadéždy) (m)
Capricorn	Козерог (m)
Capricorn	Козерог (m)
Capricornus	Козерог (koz'eróg) (m)
Capricornus	Козерог (koz'eróg) (m)
Caracalla	Каракала (Karakala)
Caribbean	Карибское море (Karíbskoje móre)
Caribbean	карибский (karíbskij)
Carina	Киль
Caserta	Казерта (Kazérta) (1, 2) (f)
Caspian Sea	Каспийское море (Kaspíjskoje móre) (n)
Cassiope	Кассиопея (kassiop'éja)
Cassiope	Кассиопея (kassiop'éja)
Cassiopeia	Кассиопея (kassiop'éja)
Cassiopeia	Кассиопея (kassiop'éja)
Catalan	каталонец (m), каталонка (f)
Catalan	каталонский (язык) (katalónskij)
Caucasian	кавказец (kavkázets)
Caucasian	кавказский (kavkázskij)
Celt	кельт (m) (kel't)
Celtic	кельтский (m), кельтская (f), кельтское (n)
Centaurus	Центавр
Central African Republic	Центрально-африканская Республика
Central Europe	Центральная Европа
Cepheus	Цефей (cef'éj)
Cepheus	Цефей (cef'éj)
Cetus	Кит
Chad	Чад
Chamaeleon	Хамелеон
Charleroi	Шарлеруа
Charon	Харон (χarón) (m)
Charon	Харон (χarón) (m)
Chechen	чеченский (čečénskij) (m)
Chennai	Ченнаи (Chennái)
Cherokee	чероки (čeróki) "m (indeclinable)"
Cheshire Cat	Чеширский Кот (Češírskij kot) (m)
Cheyenne	Чейенн (Čejénn), Шайенн (Šajénn) (m)
Cheyenne	чейенн (čejénn), шайенн (šajénn) (m)
Chicago	Чикаго (Čikágo) (m)
Childermas	День Невинноубиенных младенцев (d'en' n'evínnoubijennyχ mlad'éncev) (m)
Chile	Чили (Číli)
China	Китай (m)
China	Китай (m), КНР (f) "abbreviation"
Chinese	китаец (kitájec) (m), китаянка (kitajánka) (f)
Chinese	китайский (kitájskij) (m)
Chinese	китайский язык (kitájskij jazýk) (m), китайский (kitájskij) (m) "colloq"
Chinese	китайцы (kitájcy) (mpl)
Chinese	мандаринский диалект (mandarínskij dial'ékt) (m)
Chisinau	Кишинёв (Kishinjov)
Christ	Христос (Khristos) (m)
Christian	христианин (khristianín) (m)
Christian	христианский
Christianity	Христианство (Khristianstvo)
Christmas	Рождество (Roždestvó)
Christmas carol	колядка (kol'ádka) (f)
Christmas tree	новогодняя ёлка (novogódnjaja jólka), ёлка (jólka)
Christopher	Христофор (Khristófor)
Chrysanthemum Throne	Трон хризантемы (Tron khrizantɛ́my)) (m)
Church of Jesus Christ of Latter-day Saints	Церковь Иисуса Христа святых последних дней (f)
Chuvash	чувашский язык (čúvašskij jazýk)
Cinderella	Зoлушкa (Zolúška) (f)
Circinus	Циркуль
Cleopatra	Клеопатра
Cleveland	Кливленд (Klívlend) (m)
Clymene	Климена
Coca-Cola	Кока-кола (Koka-kóla) (f)
Coke	кола (f)
Cologne	Кёльн (Kjol’n) (m)
Colombia	Колумбия
Colombo	Коломбо (Kolómbo) (m)
Colorado	Колорадо (Kolorádo) (m)
Colorado beetle	колорадский жук (kolorádskij žuk) (m)
Colossus of Rhodes	Колосс Родосский (Kolóss Rodósskij) (m)
Columba	Голубь
Columbia	Колумбия (Kolúmbija) (f)
Common Era	нашей эры (nášej éry) (f) "(genitive of наша эра)"
Common Slavonic	праславянский язык (praslavjánskij jazýk) (m)
Commonwealth of Australia	Австралийский Союз (Avstralíjskij Sojúz) (m)
Commonwealth of Independent States	Содружество независимых государств (Sodrúžestvo nezavísimykh gosudárstv) (n), СНГ
Comoros	Коморские острова
Congo	Конго (Kóngo) (m)
Congo	Конго (Kóngo) (m)
Congo	Конго (Kóngo) (m)
Connecticut	Коннектикут (Konnɛ́ktikut)) (m)
Cook Islands	Кука острова
Copenhagen	Копенгаген (m) (2)
Corfu	Корфу
Corfu	Корфу
Cornish	Корнуэльский
Cornwall	Корнуолл
Corvus	Ворон
Cossack	казак
Costa Rica	Коста-Рика
Coventry	Ковентри (Kóventri)
Cracow	Краков
Crater	Чаша
Crimea	Крим
Croatia	Хорватия (Horvatiya)
Croatian	хорватский (khorvátskij)
Crux	Южный Крест
Cupid	Купидон
Cygnus	Лебедь
Cyprus	Кипр (Kipr) (m), остров Кипр (óstrov Kipr) (m)
Cyril	Кирилл (Kiríll) (m)
Cyrillic	кириллица (kiríllitsa) (f)
Cyrillic alphabet	кириллица (kiríllitsa) (f)
Czech	чешкий (češkij)
Czech	чешский (čéškij)
Czech Republic	Чешская Республика (f)
Czechia	Чехия
Côte d'Ivoire	Кот-д’Ивуар (Kot-d’Ivuár)
DNA	ДНК (дезоксирибонуклеиновая кислота) (f)
Dagestan	Дагестан (Dagestán) (m)
Dallas	Даллас (Dállas) (m)
Dalmatian	далмат (dalmát) (m)
Dalmatian	далматинский язык (dalmatínskij jazýk) (m)
Dalmatian	далматский
Dalmatian	далматский дог (dalmátskij dog) (m)
Damascus	Дамаск (m)
Daniel	Daniil
Danish	датский
Danish	датский (m), датская (f), датское (n)
Danube	Дунай (Dunáj) (m)
Darlington amplifier	усилитель Дарлингтона
Darth Vader	Дарт Вейдер (Dart Veider)
Daugavpils	Двинcк ("Dvinsk")
Davy Jones's locker	могила моряков (mogíla morjakóv) (f)
December	декабрь (dekábr’) (m)
Delaware	Делавэр (Dɛ́lavɛr)) (m)
Delhi	Дели (Dɛ́li))
Delphinus	Дельфин
Democritus	Демокрит (Demokrit)
Deneb	Денеб
Denmark	Дания (Dánija) (f)
Dervish	дервиш (m)
Detroit	Детройт (Dɛtrójt)) (m)
Dewa	Дэва (f)
Djibouti	Джибути
Dobermann	доберман-пинчер (dóberman-pínčer) (m)
Dog Star	Сириус
Dominica	Доминика
Dominican Republic	Доминиканская Республика
Don	Дон (Don) (m)
Dorado	Золотая Рыба
Dover	Дувр (Duvr) (m)
Draco	Дракон
Drina	Дрина (Drína) (f)
Dublin	Дублин (Dublín) (m)
Dubrovnik	Дубровник
Dugong	дюгонь (d'ugón') (m)
Durban	Дурбан (Dúrban) (m)
Dutch	голландец (m), голландка (f), нидерландец (m), нидерландка (f)
Dutch	голландский, нидерландский
Dutch	голландский, нидерландский
Dīdō	Дидона (Didóna) (f)
EU	Европейский Союз
Earth	Земля (Zemljá, zemljá) (f)
Earthling	землянин (m), "житель Земли" (m)
East	Восток (m)
East	ост (m), восточный ветер
East Timor	Восточный Тимор (Vostóčnyj Timór) (m)
Easter	Пасха (pásχa) (f)
Easter egg	Пасхальное яйцо
Ecclesiastical Latin	Экклезиастическая Латынь (Ekkleziasticheskaya Latin')
Ecuador	Эквадор
Edinburgh	Эдинбург (Édinburg) (m)
Egypt	Египет (Egípet) (m)
Egyptian pyramid	Египетские пирамиды (Egipetskie piramid')
El Niño	Эль-Ниньо
El Salvador	Сальвадор
England	Англия (Ánglija) (f)
English	английский (anglíjskij)
English	английский (anglíjskij)
English	английский (anglíjskij) (m)
English	англичанин (angličánin) (m), англичанка (angličánka) (f), англичане (angličánje) (p)
English Channel	Ла-Манш (La-Mánš) (m)
Englishman	англичанин (m)
Ephraim	Эфрем (Efrem)
Epirus	Эпир (m) (Yepir)
Equatorial Guinea	Экваториальная Гвинея
Equuleus	Малый Конь
Eric	Эрич (Erich)
Eridanus	Эридан
Eritrea	Эритрия
Erzya	эрзянский язык (m)
Esau	Исав
Esperanto	эсперанто
Estonia	Эстония (Estónija) (f)
Estonian SSR	Эстонская ССР (Estonskaja SSR)
Ethiopia	Эфиопия (Efiópija) (f)
Etruscan	этруски (etrúski)
Euclidean geometry	евклидова геометрия (jevklídova geometríja) (f)
Europe	Европа (Jevrópa) (f)
European Central Bank	Европейский центральный банк
European Union	Европейский союз (jevropejskij sojuz) (m)
European bison	зубр (zubr)
Eve	Ева (f)
Falkland Islands	Фолклендские острова (Folkléndskije ostrová) (mpl), Фолкленды (Folkléndy) (mpl), Мальвинские острова (Mal’vínskije ostrová) (mpl)
Fallopian tube	Фаллопиева труба (fallópijeva trubá) (f)
Faroe Islands	Фарерские острова
Faroese	фарерский (farérskij)
February	февраль (fevrál’) (m)
Fez	Фес, Фез
Fiji	Фиджи
Finn	финн (m), финка (f)
Finnish	финский (fínskij)
Finnish	финский (fínskij), финляндский (finljándskij)
Flanders	Фландрия (Flándrija) (f)
Flemish	фламандский (flamándskij) (m), фландрский (flándrskij) (m)
Flemish	фламандский (flamándskij), фландрский (flándrskij)
Florence	Флоренция
Florida	Флорида (Florída) (f)
Fomalhaut	Фомальгаут (Fomal’gáut) (m)
Formosa	Формоза (Formóza) (f)
Fornax	Печь
Forro	форро
France	Франция (Frántsija) (f)
Frankfurt	Франкфурт (Fránkfurt) (m)
Frankfurt-am-Main	Франкфурт-на-Майне (Fránkfurt-na-Májne) (m)
Frankfurt-an-der-Oder	Франкфурт-на-Одере (Fránkfurt-na-Ódere) (m)
French	французский (frantsúzskij) (m)
French	французский (frantsúzskij) (m)
French	французы (frantsúzy) (m) (p)
French Guiana	Французская Гвиана
French Polynesia	Французская Полинезия
Frenchman	француз (m)
Frenchwoman	француженка
Freo	Фримантл (Frímantl) (m)
Freon	фреон (m)
Friday	пятница (pjátnitsa) (f)
Fushimi Castle	замок Фусими (zámok Fusími) (m)
Führer	фюрер (m) (fjúrer)
GDP	ВНП
Gabon	Габон
Gabriel	Гавриил (Gavriíl) (1,2)
Gambia	Гамбия
Ganges	Ганг (m)
Gemini	Близнецы (Bliznetsý) (m) (p)
Genesis	Книга Бытие
Geneva	Женева (Ženéva) (f)
Geneva	Женева (Ženéva) (f), кантон Женева (kantón Ženéva) (m)
Geneva	Женевское озеро (Ženévskoje ózero) (n), озеро Леман (ózero Lemán) (n)
Genoa	Генуя
Genoa	Генуя
George	Юрий (Júrij), Георгий (Geórgij), Егор (Jegór), Егорий (Jegórij)
Georgetown	Джорджтаун
Georgia	Грузия (Grúzija) (f)
Georgia	Джорджия (Džórdžija) (f)
Georgian	грузин (gruzín) (m), грузинка (gruzínka) (f)
Georgian	грузинский (gruzínskij)
Georgian	грузинский язык (gruzínskij jazýk) (m)
Georgian	джорджиец (džordžíjets) (m)
Georgian	джорджийский (džordžíjskij)
Georgian SSR	Грузинская ССР (Gruzinskaja SSR)
German	немец (m), немка (f), немцы (p)
German	немецкий
German	немецкий, германский
German shepherd	немецкая овчарка (nemétskaja ovčárka) (f)
Germany	Германия (Germánija) (f)
Ghana	Гана (Gána) (f)
Gia Nã Đại	Канада
Gilgamesh	Ги́льгамеш (Gil'gaméš) (m)
Glagolitic	глаголица
Glagolitic alphabet	глаголица
Glasgow	Глазго (Glázgo)
God	бог (box, bóg-) (m), господь (gospód’) (m)
Goddess	богиня (f)
Gollum	Горлум, Голлум
Gondwana	Гондвана (f)
Good Friday	страстная пятница (f) (strástnaja pjátnitca)
Gordian knot	гордиев узел
Gorno-Altai Autonomous Oblast	Горно-Алтайская автономная область (Gorno-Altayskaja avtonomnaja oblast)
Great Britain	Великобритания (Velikobritánija) (f)
Great Dane	датский дог (dátskij dog) (m)
Greece	Греция (Grétsija) (f)
Greek	грек (grek) (m), гречанка (grečánka) (f)
Greek	греческий (gréčeskij)
Greek	греческий (gréčeskij) (m)
Greenland	Гренландия (f)
Greenlander	гренландец (grenlándets) (m)
Greenwich	Гринвич (Grínvič) (m)
Greenwich Mean Time	время по Гринвичу (vrémja po Grínviču)
Gregorian calendar	Грегорианский календарь (gr'egoriánskij kal'endár') (m)
Grenada	Гренада
Grus	Журавль
Guadeloupe	Гваделупа
Guam	Гуам
Guatemala	Гватемала
Guernsey	Гернси (Gérnsi), остров Гернси (óstrov Gérnsi) (m)
Guinea	Гвинея (Gvinéja) (f)
Guinea-Bissau	Гвинея-Бисау (Gvinéja-Bisáu)
Gujarati	Гуярати (Guyaráti)
Gulf of Mexico	Мексиканский залив (Meksikánskij zalív) (m)
Guyana	Гайана
Gypsy	цыган (tsygán) (m), цыганка (tsygánka) (f)
Gypsy	цыган (tsygán) (m), цыганка (tsygánka) (f)
Gypsy	цыганский (tsygánskij) (m)
Gypsy	цыганский (tsygánskij) (m), цыганская (tsygánskaja) (f)
Gypsy	цыганский (tsygánskij) (m), цыганская (tsygánskaja) (f)
Habakkuk	Аввакум
Hadrian	Адриан (Adrian)
Haiti	Гаити (Gaíti)
Halifax	Галифакс (Gálifaks)
Hanoi	Ханой (Khanój) (m)
Hanover	Ганновер (m)
Happy New Year	С Новым годом!
Havana	Гавана (f)
Hawaii	Гавайи (Gaváji) (pl)
Hebrew	еврей
Hebrew	еврейский (yevreyskiy) (m), еврейская (yevreyskaya) (f) еврейское (yevreyskoye) (n)
Hebrew	еврейский (yevreyskiy) (m), еврейская (yevreyskaya) (f) еврейское (yevreyskoye) (n)
Hebrew	иврит (ivrit) (m)
Hegira	геджра (gédžra) (f)
Helsinki	Хельсинки
Hercules	Геркулес
Herzegovina	Герцеговина (f)
Hexapoda	насекомые (nasekómyje) (n) (p)
Hezbollah	хесболлах (khesbollákh) (m), хезболла (khezbollá) (f)
Highness	Высочество (n)
Hijra	геджра (gédžra) (f)
Himalayas	Гималаи (Gimalái) (m) (p)
Hindi	хинди (khindi)
Hinduism	индуизм (induízm) (m)
Holland	Голландия (Gollándija) (f)
Hollywood	Голливуд (Góllivud) (m)
Holy Ghost	Святой Дух (m)
Holy Grail	Святой Грааль (m)
Holy Week	страстная неделя (strastnája n'ed'él'a) (f)
Honduras	Гондурас
Hooke's law	закон Гука
Horologium	Часы
Houston	Хьюстон (Hyúston) (m)
How much is it?	Сколько это стоит?, Почём?
Huang He	Хуанхэ (Khuankhé) (n)
Hubble constant	закон Хаббла (zakón Khábbla) (m)
Hudson	Гудзон (Gudzón) (m)
Hull	Гулль (Gull’) (m)
Hungarian	венгерец / венгр (m), венгерка (f)
Hungarian	венгерский (vengérskij) (m)
Hungarian	венгерский язык (m)
Hungary	Венгрия (Véngrija) (f)
Hyderabad	Хайдарабад (Khajdarabád) (m)
Hydra	Гидра
Hydra	Лернейская гидра
Hydrus	Южная Гидра
I	я (ya)
I don't know	я не знаю (ja ne znáju)
I don't think so	я так не думаю
I don't understand	я не понимаю (ja ne ponimáju)
I love you	Я вaс люблю (Ya vas lyublyú) (formal), Я вaс люблю (Ya vas lyublyú) (plural), Я тeбя люблю (Ya tebyá lyublyú) (intimate)
I'm fine, thank you	спасибо, хорошо (spasíbo, horošó)
I'm in love with you	Я полюбил тебя (ja poljubíl tebjá, "male speaker"), Я полюбила тебя (ja poljubíla tebjá, "female speaker")
Iceland	Исландия (Islándija) (f)
Idaho	Айдахо (Ajdáχo) (m)
Illinois	Иллинойс (Illinójs) (m)
India	Индия (Índija) (f)
Indian Ocean	Индийский океан (Indíjskij okeán) (m)
Indian ink	тушь (tuš’) (f)
Indiana	Индиана (Indiána) (f)
Indianapolis	Индианаполис (Indianápolis) (m)
Indonesia	Индонезия (Indonézija) (f)
Indus	Индеец
Interlingua	интерли́нгва (f) (interlingva)
Interlingua	интерли́нгва (f) (interlingva)
International Telecommunication Union	Международныйа союз телекоммуникаций (Mezhdunarodnyia soyue telecommunicashiy)
Internet	интернет (internet) (m)
Iowa	Айова (Ájova) (f)
Iran	Иран (Irán) (m)
Iraq	Ирак (Irák) (m)
Iraqi	Иракско
Iraqi	Иракско
Ireland	Ирландия (Irlándija) (f)
Irish	ирландец (m), ирландка (f), ирландцы (p)
Irish	ирландский (irlándskij)
